,,,
A,Garchinger Hochschulgelände 1,,
A0,"TUM, Geb. 5212, RCM-Hauptbau",Walther-Meißner Straße 3,85748 Garching
A1,"TUM, Geb. 6101, Heizhaus",Römerhofweg 67,85748 Garching
A2,"TUM, Geb. 6201-6206, Feuerwehr",Römerhofweg 67,85748 Garching
A3,"TUM, Geb. 5275, Bayerisches Zentrum für Angewandte Energieforschung e.V. ( ZAE Bayern)",Walther-Meißner-Str. 6,85748 Garching
A4,"TUM, Geb. 5701, Munich Institute of Biomedical Engineering (MIBE) (ehem. MSB,ehm.IMETUM)",Boltzmannstr. 11,85748 Garching
A5,"SWH, Wohnheim Enzianstraße (Garching II)",Enzianstr. 1-3,85748 Garching
A6,"TUM, Geb. 5209, (alter) Reaktor-Betriebs- und Laborgebäude",James-Franck-Straße/Boltzmannstraße,85748 Garching
A7,"TUM, Geb. 5210, (alter) Reaktor-Betriebszentrale",Lichtenbergstr. 1,85747 Garching
A8,"TUM, Geb. 6102, Betriebsgebäude I",Römerhofweg 67,85748 Garching
A9,"SWH, Wohnheim Jochbergweg (Garching I)",Jochbergweg 1,85748 Garching
AA,Gesellschaft für Anlagen- und Reaktorsicherheit (GRS) gGmbH,Boltzmannstraße 14,85748 Garching
AB,"TUM/LMU, Maier-Leibniz-Laboratorium",Am Coulombwall 6,85748 Garching
AC,"TUM, Geb. 5402, Chemiegebäude Bau Ch2",Lichtenbergstraße 4,85748 Garching
AD,"TUM, Geb. 5403, Chemiegebäude Bau Ch3",Lichtenbergstraße 4,85748 Garching
AE,"TUM, Geb. 5408, Chemie Hofgebäude I",Lichtenbergstraße  4,85748 Garching
AF,"TUM, Geb. 5401, Chemiegebäude Bau Ch1, Bibliothek, Hörsaal",Lichtenbergstraße 4,85748 Garching
AG,"TUM, Geb. 5406, Chemiegebäude Bau Ch6",Lichtenbergstraße 4,85748 Garching
AH,"TUM, Geb. 5407, Chemiegebäude Bau Ch7",Lichtenbergstraße 4,85748 Garching
AI,"MPG, Institut für Plasmaphysik (IPP)",Boltzmannstr. 2,85748 Garching
AJ,"TUM, Geb. 5204, Umformtechnik und Gießereiwesen",Walther-Meißner-Straße 4,85748 Garching
AK,"TUM, Geb. 5203, Bürogebäude (ehem. GRS)",Walther-Meißner-Str. 1,85748 Garching
AL,"LMU, Geb. 5109, Physikgebäude",Am Coulombwall 1,85748 Garching
AM,"TUM, Geb. 5202, Reaktorbereich, Zyklotron",Lichtenbergstr. 1,85748 Garching
AN,"TUM, Geb. 5302, Mensa, Raumfahrttechnik, Campus Cneipe",Lichtenbergstr. 2,85748 Garching
AO,"TUM, Geb. 5219, Verwaltungsstelle",Walther-Meißner-Str. 2,85748 Garching
AP,"TUM, Geb. 5256, RCM-Laborbau",Walther-Meißner-Str. 3,85748 Garching
AQ,"TUM, Geb. 5107, Physik II",Am Coulombwall 2,85748 Garching
AR,"TUM, Geb. 5409, Chemie Umfüllstation",Ernst-Otto-Fischer-Str.,85748 Garching
