Unterbezirkskürzel,Link,Name,Strasse,Ort
A,/apstat/filter/Unterbezirk/a,Garchinger Hochschulgelände 1,,
A0,/apstat/filter/Unterbezirk/a0,"TUM, Geb. 5212, RCM-Hauptbau",Walther-Meißner Straße 3,85748 Garching
A1,/apstat/filter/Unterbezirk/a1,"TUM, Geb. 6101, Heizhaus",Römerhofweg 67,85748 Garching
A2,/apstat/filter/Unterbezirk/a2,"TUM, Geb. 6201-6206, Feuerwehr",Römerhofweg 67,85748 Garching
A3,/apstat/filter/Unterbezirk/a3,"TUM, Geb. 5275, Bayerisches Zentrum für Angewandte Energieforschung e.V. ( ZAE Bayern)",Walther-Meißner-Str. 6,85748 Garching
A4,/apstat/filter/Unterbezirk/a4,"TUM, Geb. 5701, Munich Institute of Biomedical Engineering (MIBE) (ehem. MSB,ehm.IMETUM)",Boltzmannstr. 11,85748 Garching
A5,/apstat/filter/Unterbezirk/a5,"SWH, Wohnheim Enzianstraße (Garching II)",Enzianstr. 1-3,85748 Garching
A6,/apstat/filter/Unterbezirk/a6,"TUM, Geb. 5209, (alter) Reaktor-Betriebs- und Laborgebäude",James-Franck-Straße/Boltzmannstraße,85748 Garching
A7,/apstat/filter/Unterbezirk/a7,"TUM, Geb. 5210, (alter) Reaktor-Betriebszentrale",Lichtenbergstr. 1,85747 Garching
A8,/apstat/filter/Unterbezirk/a8,"TUM, Geb. 6102, Betriebsgebäude I",Römerhofweg 67,85748 Garching
A9,/apstat/filter/Unterbezirk/a9,"SWH, Wohnheim Jochbergweg (Garching I)",Jochbergweg 1,85748 Garching
AA,/apstat/filter/Unterbezirk/aa,Gesellschaft für Anlagen- und Reaktorsicherheit (GRS) gGmbH,Boltzmannstraße 14,85748 Garching
AB,/apstat/filter/Unterbezirk/ab,"TUM/LMU, Maier-Leibniz-Laboratorium",Am Coulombwall 6,85748 Garching
AC,/apstat/filter/Unterbezirk/ac,"TUM, Geb. 5402, Chemiegebäude Bau Ch2",Lichtenbergstraße 4,85748 Garching
AD,/apstat/filter/Unterbezirk/ad,"TUM, Geb. 5403, Chemiegebäude Bau Ch3",Lichtenbergstraße 4,85748 Garching
AE,/apstat/filter/Unterbezirk/ae,"TUM, Geb. 5408, Chemie Hofgebäude I",Lichtenbergstraße  4,85748 Garching
AF,/apstat/filter/Unterbezirk/af,"TUM, Geb. 5401, Chemiegebäude Bau Ch1, Bibliothek, Hörsaal",Lichtenbergstraße 4,85748 Garching
AG,/apstat/filter/Unterbezirk/ag,"TUM, Geb. 5406, Chemiegebäude Bau Ch6",Lichtenbergstraße 4,85748 Garching
AH,/apstat/filter/Unterbezirk/ah,"TUM, Geb. 5407, Chemiegebäude Bau Ch7",Lichtenbergstraße 4,85748 Garching
AI,/apstat/filter/Unterbezirk/ai,"MPG, Institut für Plasmaphysik (IPP)",Boltzmannstr. 2,85748 Garching
AJ,/apstat/filter/Unterbezirk/aj,"TUM, Geb. 5204, Umformtechnik und Gießereiwesen",Walther-Meißner-Straße 4,85748 Garching
AK,/apstat/filter/Unterbezirk/ak,"TUM, Geb. 5203, Bürogebäude (ehem. GRS)",Walther-Meißner-Str. 1,85748 Garching
AL,/apstat/filter/Unterbezirk/al,"LMU, Geb. 5109, Physikgebäude",Am Coulombwall 1,85748 Garching
AM,/apstat/filter/Unterbezirk/am,"TUM, Geb. 5202, Reaktorbereich, Zyklotron",Lichtenbergstr. 1,85748 Garching
AN,/apstat/filter/Unterbezirk/an,"TUM, Geb. 5302, Mensa, Raumfahrttechnik, Campus Cneipe",Lichtenbergstr. 2,85748 Garching
AO,/apstat/filter/Unterbezirk/ao,"TUM, Geb. 5219, Verwaltungsstelle",Walther-Meißner-Str. 2,85748 Garching
AP,/apstat/filter/Unterbezirk/ap,"TUM, Geb. 5256, RCM-Laborbau",Walther-Meißner-Str. 3,85748 Garching
AQ,/apstat/filter/Unterbezirk/aq,"TUM, Geb. 5107, Physik II",Am Coulombwall 2,85748 Garching
AR,/apstat/filter/Unterbezirk/ar,"TUM, Geb. 5409, Chemie Umfüllstation",Ernst-Otto-Fischer-Str.,85748 Garching
AS,/apstat/filter/Unterbezirk/as,"TUM, Geb. 5201, Reaktorbereich",Lichtenbergstr. 1,85747 Garching
AT,/apstat/filter/Unterbezirk/at,"TUM, Geb. 5101, Physikgebäude",James-Franck-Straße 1,85748 Garching
AU,/apstat/filter/Unterbezirk/au,"WMI, Geb. 5213, Tieftemperaturforschung",Walther-Meißner-Straße 8,85748 Garching
AV,/apstat/filter/Unterbezirk/av,"TUM, Geb. 5103, Betriebsgebäude II (Siemensbau)",Boltzmannstr. 10,85748 Garching
AW,/apstat/filter/Unterbezirk/aw,"TUM, Geb. 5111, Siedlungswasserwirtschaft",Am Coulombwall 3,85748 Garching
AX,/apstat/filter/Unterbezirk/ax,"TUM, Geb. 5108, Infra-Schall-Labor in Messbunker (im Gelände)",James-Franck-Straße 1,85748 Garching
AY,/apstat/filter/Unterbezirk/ay,"WSI, Geb. 5112, Walter-Schottky-Institut",Am Coulombwall 4,85748 Garching
AZ,/apstat/filter/Unterbezirk/az,"TUM, Geb. 5130, Neubau Telefonzentrale",Boltzmannstr. 10a,85748 Garching
B,/apstat/filter/Unterbezirk/b,"TUM-Stammgelände, TUM-Nordgelände und nächste Umgebung",,
B1,/apstat/filter/Unterbezirk/b1,"TUM, Geb. 0101, (N1) Hörsäle (U-Trakt)",Theresienstraße 90,80333 München
B2,/apstat/filter/Unterbezirk/b2,"TUM, Geb. 0102, (N2) Hochvolthaus",Theresienstraße 90,80333 München
B3,/apstat/filter/Unterbezirk/b3,"TUM, Geb. 0103, (N3) El.Masch./Geräte",Theresienstraße 90,80333 München
B4,/apstat/filter/Unterbezirk/b4,"TUM, Geb. 0104, (N4) Elektro Physik",Theresienstraße 90,80333 München
B5,/apstat/filter/Unterbezirk/b5,"TUM, Geb. 0105, (N5) Elektrotechnik",Theresienstraße 90,80333 München
B6,/apstat/filter/Unterbezirk/b6,"TUM, Geb. 0106, (N6) Materialprüfamt",Theresienstraße 90,80333 München
B8,/apstat/filter/Unterbezirk/b8,"TUM, Geb. 0108, (N8) Verfügungsgebäude",Theresienstraße 90,80333 München
B9,/apstat/filter/Unterbezirk/b9,"TUM, Geb. 0109 RAR, (N9) Reflexionsarmer Raum",Theresienstraße 90,80333 München
BA,/apstat/filter/Unterbezirk/ba,"TUM, Geb. 0510 (Stammgelände), TU-Verwaltung",Arcisstraße 21,80333 München
BB,/apstat/filter/Unterbezirk/bb,"TUM, Geb. 0501 (Stammgelände)",Arcisstraße 21,80333 München
BC,/apstat/filter/Unterbezirk/bc,"TUM, Geb. 0502 (Stammgelände)",Arcisstraße 21,80333 München
BD,/apstat/filter/Unterbezirk/bd,"TUM, Geb. 0503 (Stammgelände)",Arcisstraße 21,80333 München
BE,/apstat/filter/Unterbezirk/be,"TUM, Geb. 0504 (Stammgelände)",Arcisstraße 21,80333 München
BF,/apstat/filter/Unterbezirk/bf,"TUM, Geb. 0505 (Stammgelände)",Arcisstraße 21,80333 München
