LMU, Geb. 0010, Hauptgebäude an der Adalbertstraße (Adalberttrakt)Geschwister-Scholl-Platz 180539 München;C106;apa02-1gd;Online seit 2021-11-17 13:23;Alcatel-Lucent -> OAW-AP303h;Gesamt:     (008 - 3 - 3 - 3.89)eduroam:    (005 - 1 - 1 - 1.84)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.06)Sonstige:  (000 - 0 - 0 - 0.00)
HM, Gebäude T, NeubauDachauer Str. 100a80335 München;T.0.013, EG, Dachauerstr. 100b, HM;apa02-0rt;Online seit 2022-03-02 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (020 - 4 - 3 - 12.95)eduroam:    (015 - 1 - 1 - 10.42)lrz:  (002 - 1 - 1 - 1.02)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 2 - 1 - 1.52)Sonstige:  (000 - 0 - 0 - 0.00)
HM, Gebäude R1, R2, R3Heßstraße 89 / Lothstr. 6480335 München;R3.072;apa19-3rr;Online seit 2022-03-02 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (008 - 4 - 3 - 3.49)eduroam:    (004 - 2 - 1 - 1.29)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 1 - 1 - 1.20)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, SoziologieKonradstr. 680801 München;211;apa03-2ll;Online seit 2021-12-29 00:53;Alcatel-Lucent -> OAW-AP303h;Gesamt:     (006 - 3 - 3 - 3.18)eduroam:    (003 - 1 - 1 - 1.16)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.01)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 5901, Fakultät Elektro- und Informationstechnik BA1Hans-Piloty-Straße 185748 Garching;03.5901.019[CI:193458]?;apa18-3m1;Online seit 2022-01-18 08:28;Aruba -> AP-515;Gesamt:     (003 - 2 - 2 - 2.09)eduroam:    (002 - 1 - 1 - 1.09)lrz:  (000 - 0 - 0 - 0.00)@BayernWLAN: (001 - 1 - 1 - 1.00)
TUM, Geb. 4313, ZierpflanzenbauBlumenstr. 1285354 Freising;G4313/EG;apa01-0pq;Online seit 2022-03-15 13:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (010 - 3 - 3 - 3.70)eduroam:    (004 - 1 - 1 - 1.11)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (005 - 1 - 1 - 1.59)
BAdW, Bau B, AkademiegebäudeAlfons-Goppel-Str. 1180539 München;Hofgartenseite;apa04-2hz;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP365;Gesamt:     (017 - 3 - 3 - 4.61)eduroam:    (005 - 1 - 1 - 1.48)lrz:  (005 - 1 - 1 - 1.33)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (007 - 1 - 1 - 1.80)Sonstige:  (000 - 0 - 0 - 0.00)
HM, Gebäude ALothstr. 3480335 München;A 217;apa04-2ra;Online seit 2022-01-18 08:18;Alcatel-Lucent -> OAW-AP303h;Gesamt:     (005 - 3 - 3 - 3.12)eduroam:    (003 - 1 - 1 - 1.12)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (001 - 1 - 1 - 1.00)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, PlaneggFraunhoferstraße 12Planegg;421, 4.OG, Fraunhoferstr. 12, LMU Planegg;apa03-4xp;Online seit 2022-03-12 21:48;Alcatel-Lucent -> OAW-AP325;Gesamt:     (003 - 2 - 2 - 2.06)eduroam:    (002 - 1 - 1 - 1.06)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (000 - 0 - 0 - 0.00)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 0505 (Stammgelände)Arcisstraße 2180333 München;-1503;apa03-kbf;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (011 - 3 - 3 - 3.73)eduroam:    (006 - 1 - 1 - 1.55)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (004 - 1 - 1 - 1.18)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 5403, Chemiegebäude Bau Ch3Lichtenbergstraße 485748 Garching;23212, Chemielabor;apa08-2ad;Online seit 2022-03-17 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (017 - 3 - 3 - 5.31)eduroam:    (008 - 1 - 1 - 2.24)lrz:  (004 - 1 - 1 - 1.27)@BayernWLAN: (005 - 1 - 1 - 1.80)
WMI, Geb. 5213, TieftemperaturforschungWalther-Meißner-Straße 885748 Garching;127;apa16-1au;Online seit 2022-03-14 13:48;Aruba -> AP-303H;Gesamt:     (008 - 4 - 3 - 4.14)eduroam:    (004 - 1 - 1 - 1.77)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (001 - 1 - 1 - 1.00)Sonstige:  (003 - 2 - 1 - 1.38)
TUM, Geb. 5500 (Bauteil 0 ~5510), MaschinenwesenBoltzmannstraße 1585748 Garching;MW 0012;apa16-0w0;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (009 - 3 - 3 - 4.48)eduroam:    (005 - 1 - 1 - 2.41)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 1 - 1 - 1.07)Sonstige:  (000 - 0 - 0 - 0.00)
Wohnheim LudwigskollegGuerickestr. 1980805 München;D.206.Z;apa08-2y1;Online seit 2022-03-17 01:28;Aruba -> AP-515;Gesamt:     (013 - 6 - 5 - 8.60)eduroam:    (010 - 4 - 3 - 6.59)lrz:  (001 - 1 - 1 - 1.00)@BayernWLAN: (002 - 1 - 1 - 1.01)
TUM, Geb. 2601-2607, PasingBaumbachstr. 781245 München;E208, 1.OG, Geb. 2602(E), TUM Pasing;apa03-1zm;Online seit 2022-02-07 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (015 - 3 - 3 - 5.65)eduroam:    (009 - 1 - 1 - 3.20)lrz:  (004 - 1 - 1 - 1.37)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.08)Sonstige:  (000 - 0 - 0 - 0.00)
HSWT, Geb. 4179 (C4), PappelalleeWeihenstephaner Berg 585354 Freising;C4.341 unten;apa11-0pr;Online seit 2022-01-18 09:48;Aruba -> AP-515;Gesamt:     (087 - 3 - 3 - 35.26)eduroam:    (060 - 1 - 1 - 27.30)lrz:  (005 - 1 - 1 - 1.74)@BayernWLAN: (022 - 1 - 1 - 6.22)
Wohnheim LudwigskollegGuerickestr. 1980805 München;C.102.T;apa08-1y1;Online seit 2022-01-12 01:38;Aruba -> AP-515;Gesamt:     (011 - 3 - 3 - 3.75)eduroam:    (007 - 1 - 1 - 1.54)lrz:  (001 - 1 - 1 - 1.00)@BayernWLAN: (003 - 1 - 1 - 1.22)
